Year,Final Wealth,Path_ID,source_folder
2025,232843.1394311863,9,P2_outputs_path_0_to_50
2026,341423.8963372301,9,P2_outputs_path_0_to_50
2027,413677.1717249992,9,P2_outputs_path_0_to_50
2028,436835.08642303874,9,P2_outputs_path_0_to_50
2029,368459.74711170496,9,P2_outputs_path_0_to_50
2030,432853.22468604014,9,P2_outputs_path_0_to_50
2031,406421.74708119605,9,P2_outputs_path_0_to_50
2032,488606.3806835984,9,P2_outputs_path_0_to_50
2033,708241.1466912684,9,P2_outputs_path_0_to_50
2034,136528.9712310346,9,P2_outputs_path_0_to_50
2035,258555.38345097128,9,P2_outputs_path_0_to_50
2036,384674.8586422262,9,P2_outputs_path_0_to_50
2037,503200.6140948844,9,P2_outputs_path_0_to_50
2038,1005385.1938862832,9,P2_outputs_path_0_to_50
2039,1309878.30331497,9,P2_outputs_path_0_to_50
2040,1150897.9937625478,9,P2_outputs_path_0_to_50
2041,1772550.2033740832,9,P2_outputs_path_0_to_50
2042,2259800.1996044083,9,P2_outputs_path_0_to_50
2043,2632504.2142718774,9,P2_outputs_path_0_to_50
2044,2495124.992933768,9,P2_outputs_path_0_to_50
2045,2638046.7749175355,9,P2_outputs_path_0_to_50
2046,2800407.028071292,9,P2_outputs_path_0_to_50
2047,2723411.423621089,9,P2_outputs_path_0_to_50
2048,2060449.361182124,9,P2_outputs_path_0_to_50
2049,1944884.025576991,9,P2_outputs_path_0_to_50
2050,2180252.4375922605,9,P2_outputs_path_0_to_50
2051,2720526.073439392,9,P2_outputs_path_0_to_50
2052,2905752.2149064955,9,P2_outputs_path_0_to_50
2053,3301906.86075238,9,P2_outputs_path_0_to_50
2054,3080738.5581094846,9,P2_outputs_path_0_to_50
2055,2887379.055831169,9,P2_outputs_path_0_to_50
2056,3544254.598859716,9,P2_outputs_path_0_to_50
2057,4548657.057353906,9,P2_outputs_path_0_to_50
2058,4639805.644590369,9,P2_outputs_path_0_to_50
2059,855453.432647882,9,P2_outputs_path_0_to_50
2060,959078.096278521,9,P2_outputs_path_0_to_50
