Year,Account,Asset,Invested,Weight,Return (Nominal),Inflation Rate,Return (Inflation Adjusted),Gross Gain,Tax,Net Gain,End Value,TOTAL ASK Cap (DKK),Goal B Allocation (%),Goal B Amount Taken (DKK),Goal B Utility Net Δ,Goal B Utility Loss,Goal B Value Now,Goal B Utility φ_before,Goal B Utility φ_after,Goal C Allocation (%),Goal C Amount Taken (DKK),Goal C Utility Net Δ,Goal C Utility Loss,Goal C Value Now,Goal C Utility φ_before,Goal C Utility φ_after,Goal D Allocation (%),Goal D Amount Taken (DKK),Goal D Utility Net Δ,Goal D Utility Loss,Goal D Value Now,Goal D Utility φ_before,Goal D Utility φ_after,Goal A Allocation (%),Goal A Amount Taken (DKK),Goal A Utility Net Δ,Goal A Utility Loss,Goal A Value Now,Goal A Utility φ_before,Goal A Utility φ_after
2033,NORMAL,Investment Grade Bonds - Obligations,1903.197473,0.000567529,0.0363,0.02,0.98,1865.133524,777.5257024,1087.607821,2990.805295,431003.2926,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2033,NORMAL,Government ZC Bonds - Obligations,480909.1159,0.14340594,0.0283,0.02,0.98,471290.9335,196468.9442,274821.9894,755731.1052,431003.2926,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2034,ASK,Emerging Markets - Equities,54141.29,0.01011904,0.084,0.02,0.98,53058.4642,9019.938914,44038.52529,98179.81529,485525.2091,," 8,415,108.71 ",,,,,,78.57142857,0,-0.030024042,0.270024042,0.24,"1, 1","0.73, 1",,,,,,,,,,,,,,
2034,NORMAL,Emerging Markets - Equities,777649.2,0.145343111,0.084,0.02,0.98,762096.216,318593.6615,443502.5545,1221151.755,485525.2091,,,,,,,,78.57142857,0,-0.030024042,0.270024042,0.24,"1, 1","0.73, 1",,,,,,,,,,,,,,
2034,ASK,Developed Markets - Equities,380.62,7.11E-05,0.068,0.02,0.98,373.0076,63.411292,309.596308,690.216308,485525.2091,,,,,,,,78.57142857,0,-0.030024042,0.270024042,0.24,"1, 1","0.73, 1",,,,,,,,,,,,,,
2034,NORMAL,Developed Markets - Equities,5467.02,0.001021789,0.068,0.02,0.98,5357.6796,2239.773305,3117.906295,8584.926295,485525.2091,,,,,,,,78.57142857,0,-0.030024042,0.270024042,0.24,"1, 1","0.73, 1",,,,,,,,,,,,,,
2034,NORMAL,Emerging Markets State - Obligations,12819.55993,0.002395984,0.0483,0.02,0.98,12563.16873,5252.02178,7311.146949,20130.70688,485525.2091,,,,,,,,78.57142857,0,-0.030024042,0.270024042,0.24,"1, 1","0.73, 1",,,,,,,,,,,,,,
2034,NORMAL,High Yield Bonds - Obligations,29092.71133,0.005437446,0.0493,0.02,0.98,28510.8571,11918.93906,16591.91804,45684.62937,485525.2091,,,,,,,,78.57142857,0,-0.030024042,0.270024042,0.24,"1, 1","0.73, 1",,,,,,,,,,,,,,
2034,NORMAL,Investment Grade Bonds - Obligations,28982.81923,0.005416907,0.0363,0.02,0.98,28403.16284,11873.91757,16529.24528,45512.0645,485525.2091,,,,,,,,78.57142857,0,-0.030024042,0.270024042,0.24,"1, 1","0.73, 1",,,,,,,,,,,,,,
2034,NORMAL,Government ZC Bonds - Obligations,4441904.064,0.830194584,0.0283,0.02,0.98,4353065.983,1819795.455,2533270.528,6975174.593,485525.2091,,,,,,,,78.57142857,0,-0.030024042,0.270024042,0.24,"1, 1","0.73, 1",,,,,,,,,,,,,,
2035,NORMAL,Government ZC Bonds - Obligations,8484651.855,1,0.0343,0.02,0.02,169693.0371,61146.07558,108546.9615,8593198.817,546944.1481,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2036,ASK,Emerging Markets - Equities,63504.74,0.007324322,0.063,0.02,0.02,1270.0948,215.916116,1054.178684,64558.91868,616132.5828,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2036,NORMAL,Emerging Markets - Equities,60452.65,0.006972309,0.063,0.02,0.02,1209.053,436.1279581,772.9250419,61225.57504,616132.5828,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2036,ASK,Developed Markets - Equities,67102.64,0.007739286,0.063,0.02,0.02,1342.0528,228.148976,1113.903824,68216.54382,616132.5828,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2036,NORMAL,Developed Markets - Equities,63877.63,0.007367329,0.063,0.02,0.02,1277.5526,460.8370409,816.7155591,64694.34556,616132.5828,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2036,NORMAL,Emerging Markets State - Obligations,42425.91272,0.004893194,0.0343,0.02,0.02,848.5182543,306.0763537,542.4419006,42968.35462,616132.5828,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2036,NORMAL,High Yield Bonds - Obligations,95351.85905,0.010997411,0.0343,0.02,0.02,1907.037181,687.903865,1219.133316,96570.99237,616132.5828,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2036,NORMAL,Investment Grade Bonds - Obligations,130378.7915,0.015037244,0.0343,0.02,0.02,2607.57583,940.6012162,1666.974614,132045.7661,616132.5828,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2036,NORMAL,Government ZC Bonds - Obligations,8147297.498,0.939668906,0.0343,0.02,0.02,162945.95,58777.64203,104168.3079,8251465.806,616132.5828,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2037,ASK,Emerging Markets - Equities,55669.82,0.00628348,0.063,0.02,0.02,1113.3964,189.277388,924.119012,56593.93901,694073.3545,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2037,NORMAL,Emerging Markets - Equities,96543.81,0.010896948,0.063,0.02,0.02,1930.8762,699.6571821,1231.219018,97775.02902,694073.3545,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2037,ASK,Developed Markets - Equities,22270.95,0.002513733,0.063,0.02,0.02,445.419,75.72123,369.69777,22640.64777,694073.3545,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2037,NORMAL,Developed Markets - Equities,38622.76,0.00435937,0.063,0.02,0.02,772.4552,279.9008184,492.5543816,39115.31438,694073.3545,,,,,,,,,,,,,,,,,,,,,,,,,,,,
